,Nod_ref,Way_Id,highway,junction,lanes,name,color,size1,size2,Lon,Lat
0,"[21478794, 1436278350, 552874046, 1436278353, 21478906, 21478773, 21478903, 21478715, 21478905, 21478719, 1375756298, 21478691, 1375756297, 21478704, 21478813, 1132186403, 1436278365, 21478901, 552874009, 21478805, 1436281191, 21478746, 552874084, 21478768]",4050337,primary,roundabout,,,#FFA07A,grande,1,"[-3.6091883, -3.6093117999999995, -3.6094267999999996, -3.6096300000000001, -3.6097358999999996, -3.6102666999999999, -3.6104111000000003, -3.6104616999999997, -3.6105794000000002, -3.6106050999999999, -3.6106046999999997, -3.6105544000000003, -3.6105043999999999, -3.6103174, -3.6099508, -3.6097339999999996, -3.6095800000000002, -3.6095229, -3.6094245000000003, -3.6089730000000002, -3.6089378999999999, -3.6088730999999998, -3.6088072000000002, -3.6088065999999999]","[37.167996700000003, 37.167996200000005, 37.167990799999998, 37.167981400000002, 37.167983899999996, 37.167951700000003, 37.167940799999997, 37.167901399999998, 37.167781700000006, 37.167693700000001, 37.167589, 37.167483399999995, 37.167423399999997, 37.167318399999999, 37.167322600000006, 37.167328900000001, 37.167334499999996, 37.167335600000001, 37.167336400000003, 37.167367600000006, 37.167410700000005, 37.167490399999998, 37.1676304, 37.167749799999996]"
1,"[21478704, 1375756281, 21478669, 413081106, 21478703]",4050340,motorway_link,,,,#DC143C,grande,1,"[-3.6103174, -3.6102615, -3.6102267000000001, -3.6101730000000005, -3.6102262999999999]","[37.167318399999999, 37.167235099999999, 37.167183299999998, 37.166801499999998, 37.1647198]"
2,"[21478662, 484649177]",4993742,motorway,,3.0,Autovía de Sierra Nevada,#DC143C,grande,2,"[-3.6106335000000001, -3.6109249999999999]","[37.1628282, 37.161997100000001]"
3,"[21478706, 881028726, 881029157, 881028949, 881028780, 33244615, 881028649, 33244616, 881028795, 33244617, 881028794, 881028946, 881028779, 881029207, 21478732, 881029052, 21478728, 881028809, 21478712, 21478690, 21478701, 1011905996, 881029002, 881029104, 881028729, 1011905035, 21478706]",4993745,primary,roundabout,2.0,,#FFA07A,grande,1,"[-3.6093112999999999, -3.6094641000000003, -3.6095725000000001, -3.6105680000000002, -3.6106733000000002, -3.6107663999999997, -3.6107792999999999, -3.6108046000000003, -3.6108243999999998, -3.6107864999999997, -3.6107209000000005, -3.6106442000000003, -3.6105369, -3.6104364000000002, -3.6103387000000002, -3.6100241999999998, -3.6093337000000001, -3.6090887999999999, -3.6089852999999996, -3.6089362999999999, -3.6089288000000002, -3.6089286, -3.6089727999999996, -3.6090294000000003, -3.6091153, -3.6092143999999999, -3.6093112999999999]","[37.146754399999999, 37.146748200000005, 37.146728000000003, 37.146437100000007, 37.146396500000002, 37.146354200000005, 37.146312899999998, 37.146218599999997, 37.146122300000002, 37.146011799999997, 37.1459166, 37.145862799999996, 37.145832399999996, 37.145824100000006, 37.145826499999998, 37.145909700000004, 37.146118799999996, 37.1461969, 37.146293700000001, 37.146358700000008, 37.146436399999999, 37.1465131, 37.146567900000001, 37.146633000000001, 37.146695700000002, 37.146738399999997, 37.146754399999999]"
4,"[21478846, 21478860, 21478738, 881029126, 21478732]",4993746,primary,,,,#FFA07A,grande,1,"[-3.6129568999999995, -3.6127300000000004, -3.6118454, -3.6109332000000003, -3.6103387000000002]","[37.1437539, 37.144048499999997, 37.144694899999998, 37.145390399999997, 37.145826499999998]"
5,"[1025639551, 1025640039, 244521037, 290980546, 33143004, 1025640131, 1025639924, 1423279515, 1025640065, 1423279502, 1025639825, 1025640043, 1423279469, 1025639704, 33143008, 1025639883, 1423279513, 1025639709, 1025640069]",4993750,secondary,,3.0,,#FFFF00,grande,1,"[-3.6190625000000001, -3.6190476999999999, -3.6190547999999994, -3.6191237000000003, -3.6192232999999998, -3.6193677000000002, -3.6193947, -3.6195086999999999, -3.6195792, -3.6196601000000004, -3.6197031000000002, -3.6197097, -3.619713, -3.6196671999999999, -3.6196446000000004, -3.6195641000000003, -3.6194565000000001, -3.6194267999999998, -3.6193434999999998]","[37.206271399999999, 37.206317900000002, 37.206429, 37.206533799999995, 37.2065974, 37.206628000000002, 37.206628000000002, 37.206607899999995, 37.206576200000008, 37.206508800000002, 37.206435299999995, 37.206414200000005, 37.206321000000003, 37.206220399999999, 37.206194599999996, 37.206135799999998, 37.206099200000004, 37.206097200000002, 37.206093700000004]"
6,"[559422223, 1814655053, 1025639665, 1025639477, 1027206575, 1027206634, 1027206816, 1893742567, 1025639692, 1025639551]",4993752,secondary,,2.0,Avenida Juan Pablo II,#FFFF00,grande,1,"[-3.6145358999999995, -3.6146747000000001, -3.6162133000000001, -3.6165451000000002, -3.6177887000000002, -3.6182326000000002, -3.6187874999999998, -3.6189065999999999, -3.6190165000000003, -3.6190625000000001]","[37.201476200000002, 37.201558700000007, 37.203100399999997, 37.203450500000002, 37.204755799999994, 37.205221700000003, 37.205804100000002, 37.205954299999995, 37.206125799999995, 37.206271399999999]"
7,"[551498545, 1893807608, 33143018, 33143020, 1893807606, 290912894, 61366580, 663759724, 33143017, 551498611, 78695250, 290912895, 33143014, 559422208, 290912896, 78641299, 551498545]",4993753,secondary,roundabout,,,#FFFF00,grande,1,"[-3.6105957000000002, -3.6105292999999996, -3.6104208, -3.6102866000000002, -3.6101472999999999, -3.6100239999999997, -3.6099353999999999, -3.6098952000000004, -3.6099093, -3.6099756000000003, -3.6100840999999999, -3.6102182999999997, -3.6103575999999999, -3.6104809000000002, -3.6105695, -3.6106097999999998, -3.6105957000000002]","[37.196993599999999, 37.196895300000001, 37.196824799999995, 37.196792700000003, 37.196804, 37.196856799999999, 37.196943299999994, 37.197050099999998, 37.197161100000002, 37.197259299999999, 37.1973299, 37.197361999999998, 37.197350700000001, 37.197297900000002, 37.1972114, 37.197104500000002, 37.196993599999999]"
8,"[33143084, 288591814]",4993756,motorway,,2.0,Autovía de Sierra Nevada,#DC143C,grande,2,"[-3.6241277000000003, -3.6236120999999999]","[37.212538299999999, 37.210720600000002]"
9,"[33244544, 1352789937, 290918354, 1352787360, 1352787456, 1674830548, 1674830546, 1449592767]",5004341,residential,,,Calle Minerva,#FFFFFF,medio,1,"[-3.6155520999999999, -3.6151959000000002, -3.6151411000000002, -3.6150092000000003, -3.6149307999999998, -3.6140648999999998, -3.6139910999999998, -3.6136498999999995]","[37.200580799999997, 37.200225700000004, 37.200171000000005, 37.200039500000003, 37.199961399999999, 37.199097999999999, 37.199024399999999, 37.198684200000002]"
10,"[33143079, 33244594, 33244593, 2375977640, 21478903]",5004344,motorway_link,,,,#DC143C,grande,1,"[-3.6106653, -3.6104660000000002, -3.6102957999999998, -3.6103632000000005, -3.6104111000000003]","[37.170499299999996, 37.169299700000003, 37.168180499999998, 37.168040399999995, 37.167940799999997]"
11,"[1452513676, 311651415, 311651416, 311651417, 311651418, 1520053680, 311651419, 1520001494, 1520001512]",5004346,residential,,,Calle de los Juncos,#FFFFFF,medio,1,"[-3.6160953999999998, -3.6149797999999995, -3.6142151, -3.6128362999999997, -3.6111364000000004, -3.6103669000000003, -3.6100595000000002, -3.6093861000000005, -3.6088318999999998]","[37.161201299999995, 37.161295000000003, 37.161425100000002, 37.161727200000009, 37.162120200000004, 37.162320799999996, 37.162401000000003, 37.1626154, 37.162828300000001]"
12,"[881028794, 33244618, 881028995, 33244619, 33244620, 33244621, 33244622, 21478866]",5004349,primary,,,,#FFA07A,grande,1,"[-3.6107209000000005, -3.6108078000000003, -3.6109065999999999, -3.6110392999999998, -3.6122139999999998, -3.6127230000000004, -3.6128382999999999, -3.6131800000000003]","[37.1459166, 37.145682200000003, 37.145564899999997, 37.145442899999999, 37.144585399999997, 37.144178199999999, 37.144079900000001, 37.143941999999996]"
13,"[1904573745, 1904573753, 1352816302, 330252137, 1676628482, 330252025, 304493009, 304493008, 1676628522]",6065708,primary,,,Avenida de Andalucía,#FFA07A,grande,1,"[-3.6147355999999999, -3.6148964000000001, -3.6155057999999998, -3.6158925000000002, -3.6165230999999998, -3.6176757000000004, -3.6182732999999998, -3.6192967999999999, -3.6194267]","[37.189700299999998, 37.189780600000006, 37.190067299999995, 37.190243599999995, 37.190520399999997, 37.191026399999998, 37.191293299999998, 37.191671700000001, 37.191743299999999]"
14,"[49937610, 534912486]",6065710,residential,,,Plaza de Mariana Pineda,#FFFFFF,medio,1,"[-3.5973218999999999, -3.5970911000000001]","[37.172640999999999, 37.172547700000003]"
15,"[49937389, 267110877, 534933427, 1654511180, 1694984315, 534933426]",6065716,residential,,,Calle Pavaneras,#FFFFFF,medio,1,"[-3.5966809999999998, -3.5965559000000002, -3.5961727999999997, -3.5960198999999999, -3.5957495000000002, -3.5956417000000003]","[37.175556, 37.175527100000004, 37.175325000000001, 37.175169500000003, 37.174894600000002, 37.174784899999999]"
16,"[254191559, 1381773394]",6065718,residential,,,Calle Puerta Real De España,#FFFFFF,medio,1,"[-3.5996451, -3.5995062999999994]","[37.173454, 37.173615600000005]"
17,"[544658557, 544658845, 49937427]",6065721,residential,,,Avenida del Hospicio,#FFFFFF,medio,1,"[-3.6020180000000002, -3.6019080000000003, -3.6018182999999997]","[37.182981599999998, 37.183081399999999, 37.1831776]"
18,"[1646809239, 49937476]",6065724,pedestrian,,,Plaza Pescadería,#A9A9A9,peque,1,"[-3.6006796999999997, -3.6007250000000002]","[37.176179499999996, 37.176305299999996]"
19,"[267340819, 2216066631, 1381655140, 49937472, 267341175, 267341171, 304217773, 1646809257]",6065726,residential,,,Calle Tablas,#FFFFFF,medio,1,"[-3.6039691, -3.6038747999999998, -3.6037917999999998, -3.6037051, -3.6032501000000003, -3.6028467000000006, -3.6024509, -3.6022177000000002]","[37.175804900000003, 37.1757578, 37.175749500000002, 37.175775099999996, 37.175915000000003, 37.176042899999999, 37.176163000000003, 37.176234100000002]"
20,"[49937519, 3087360134, 303932960, 303932871, 4362125538]",6065736,pedestrian,,,Calle Oficios,#A9A9A9,peque,1,"[-3.5990196999999999, -3.5988992999999994, -3.5986777000000001, -3.5985264999999997, -3.5981611000000004]","[37.1756855, 37.1757791, 37.175951599999998, 37.176065200000004, 37.176343899999999]"
21,"[49937580, 49937573, 49937575, 1765152606, 49937577, 49937582]",6065740,primary_link,,,,#FFA07A,grande,1,"[-3.5714912000000005, -3.5714869, -3.5714796999999998, -3.5715072000000001, -3.5715697, -3.5716732000000002]","[37.163508200000003, 37.163434299999999, 37.163372100000004, 37.163304100000005, 37.1632575, 37.163226299999998]"
22,"[283254010, 283253983, 49937569]",6065741,primary_link,,,,#FFA07A,grande,1,"[-3.5728404, -3.5722561000000002, -3.5712402999999999]","[37.163399100000007, 37.163138000000004, 37.162689399999998]"
23,"[283253894, 2090030000, 564936271, 21293532]",6065742,tertiary_link,,,,#FFFFFF,grande,1,"[-3.5707989000000002, -3.5708607000000003, -3.5710375000000001, -3.5711282]","[37.162969399999994, 37.163034600000003, 37.1631541, 37.163211100000005]"
24,"[49937603, 1345326937, 49937606]",6065745,residential,,,Calle Joaquín Sorolla,#FFFFFF,medio,1,"[-3.5980678999999998, -3.5982197999999999, -3.5983315999999999]","[37.172936900000003, 37.172694200000002, 37.172506799999994]"
25,"[507116407, 581052452]",6065748,residential,,,Plaza Nueva,#FFFFFF,medio,1,"[-3.5957430000000001, -3.5952723]","[37.1768383, 37.177096999999996]"
26,"[1074121336, 3087360136, 1345327325, 582274754, 1654435898, 1654435900, 49937659]",6065750,residential,,,Calle Almireceros,#FFFFFF,medio,1,"[-3.5980046000000003, -3.5979001000000004, -3.5977093999999998, -3.5974182999999997, -3.5972421000000003, -3.5970322000000001, -3.5967366000000003]","[37.176610100000005, 37.176639200000004, 37.176690000000001, 37.176776799999999, 37.176823900000002, 37.176879900000003, 37.176953999999995]"
27,"[1074120297, 559919033, 1369780810, 746664150, 746665117]",6065752,pedestrian,,,Calle Calderería Nueva,#A9A9A9,peque,1,"[-3.5976218000000002, -3.5971411, -3.5968263, -3.5965612, -3.5962862000000002]","[37.177702600000003, 37.177837700000005, 37.177892900000003, 37.177944700000005, 37.177990600000001]"
28,"[49937683, 49937718]",6065753,steps,,,Plaza Mirador de San Nicolás,#FF0000,peque,1,"[-3.5929321000000005, -3.5929397999999999]","[37.180991900000002, 37.181184600000002]"
