,Nod_Id,Nod_Lat,Nod_Lon,Nod_Highway
0,13843716,37.2319696,-3.5708282,0.0
1,21293396,37.1632235,-3.6013396,0.0
2,21293400,37.1654161,-3.5756780,0.0
3,21293401,37.1664148,-3.5789752,0.0
4,21293406,37.1686605,-3.5830961,0.0
5,21293408,37.1641455,-3.5768610,0.0
6,21293409,37.1652254,-3.6039445,0.0
7,21293413,37.1864552,-3.6082583,0.0
8,21293416,37.1677829,-3.5883230,0.0
9,21293417,37.1644555,-3.5781339,0.0
10,21293419,37.1860023,-3.6085124,0.0
11,21293420,37.1670358,-3.5871353,0.0
12,21293421,37.1647019,-3.5733752,0.0
13,21293426,37.1676593,-3.5880757,0.0
14,21293429,37.1869597,-3.6079553,0.0
15,21293431,37.1716311,-3.5806445,0.0
16,21293432,37.1675466,-3.5878624,0.0
17,21293442,37.1676088,-3.5812543,0.0
18,21293443,37.1714992,-3.5804729,0.0
19,21293448,37.1672715,-3.5876309,0.0
20,21293454,37.1927997,-3.6009114,0.0
21,21293457,37.1810666,-3.6059350,0.0
22,21293463,37.1875404,-3.6013158,0.0
23,21293472,37.1928713,-3.6008398,0.0
24,21293481,37.1632511,-3.6015277,0.0
25,21293482,37.1626152,-3.5710094,0.0
26,21293486,37.1681007,-3.6061756,0.0
27,21293487,37.1928807,-3.6007479,0.0
28,21293488,37.1702936,-3.5816562,0.0
29,21293490,37.1927674,-3.6005896,0.0
30,21293492,37.1705186,-3.5815198,0.0
31,21293496,37.1926229,-3.6005514,0.0
32,21293499,37.1664095,-3.5986052,0.0
33,21293500,37.1696225,-3.5819352,0.0
34,21293501,37.1878108,-3.6005526,0.0
35,21293502,37.1773871,-3.6117841,traffic_signals
36,21293504,37.1928390,-3.6006563,0
37,21293506,37.1633919,-3.5713101,0
38,21293507,37.1877433,-3.6006814,0
39,21293510,37.1896837,-3.6004073,0
40,21293514,37.1698463,-3.5817958,0
41,21293516,37.1860776,-3.6039773,0
42,21293521,37.1868650,-3.6037866,0
43,21293527,37.1629122,-3.5710428,0
44,21293528,37.1693843,-3.5824198,0
45,21293531,37.1695018,-3.5830489,0
46,21293532,37.1632111,-3.5711282,0
47,21293533,37.1836072,-3.6048330,0
48,21293534,37.1630954,-3.5710691,0
49,21293536,37.1827973,-3.6052907,0
50,21293538,37.1625771,-3.5708655,0
51,21293539,37.1713002,-3.5805327,0
52,21293540,37.1627845,-3.5711113,0
53,21293545,37.1713974,-3.5805672,0
54,21293546,37.1666406,-3.5979994,0
55,21293549,37.1667551,-3.5983890,0
56,21293552,37.1655146,-3.6041312,0
57,21293555,37.1667328,-3.5984528,0
58,21293557,37.1633128,-3.5720191,0
59,21293570,37.1720071,-3.5813864,0
60,21293572,37.1636511,-3.5741717,0
61,21293573,37.1698670,-3.5931682,0
62,21293577,37.1627747,-3.5706383,0
63,21293580,37.1730371,-3.5832444,0
64,21293582,37.1794501,-3.6080024,0
65,21293591,37.1631005,-3.5711895,0
66,21293594,37.1721284,-3.5816343,0
67,21293606,37.1678992,-3.5885999,0
68,21293607,37.1626603,-3.5706938,0
69,21293609,37.1626206,-3.5707486,0
70,21293611,37.1689318,-3.5908047,0
71,21293612,37.1629275,-3.5706937,0
72,21293618,37.1903871,-3.6007371,0
73,21293622,37.1787064,-3.6089448,0
74,21293623,37.1682075,-3.5821431,0
75,21293624,37.1635348,-3.5729771,0
76,21478280,37.1828829,-3.6022625,0
77,21478285,37.1830625,-3.6020315,0
78,21478300,37.1774685,-3.5984566,traffic_signals
79,21478308,37.1828474,-3.6018871,0
80,21478658,37.1868285,-3.6321368,0
81,21478660,37.1423763,-3.6150609,0
82,21478661,37.1584024,-3.6123558,0
83,21478662,37.1628282,-3.6106335,0
84,21478664,37.1533067,-3.6131285,0
85,21478665,37.2255737,-3.6347951,0
86,21478668,37.1899316,-3.6333597,0
87,21478669,37.1671833,-3.6102267,0
88,21478671,37.1434873,-3.6138808,0
89,21478677,37.1420951,-3.6154820,0
90,21478678,37.1906142,-3.6333186,0
91,21478680,37.1566678,-3.6130777,motorway_junction
92,21478681,37.2245317,-3.6338429,0
93,21478685,37.1403323,-3.6180741,0
94,21478690,37.1463587,-3.6089363,0
95,21478691,37.1674834,-3.6105544,0
96,21478694,37.2304789,-3.6394460,0
97,21478696,37.2283394,-3.6373018,0
98,21478701,37.1464364,-3.6089288,0
99,21478703,37.1647198,-3.6102263,0
100,21478704,37.1673184,-3.6103174,0
101,21478705,37.2203906,-3.6291069,0
102,21478706,37.1467544,-3.6093113,0
103,21478709,37.1680329,-3.6089312,give_way
104,21478712,37.1462937,-3.6089853,0
105,21478714,37.1706071,-3.6105060,0
106,21478715,37.1679014,-3.6104617,0
107,21478717,37.2186296,-3.6260688,0
108,21478719,37.1676937,-3.6106051,0
109,21478722,37.1730555,-3.6115463,0
110,21478724,37.2348308,-3.6434423,0
111,21478725,37.2377949,-3.6481431,motorway_junction
112,21478728,37.1461188,-3.6093337,0
113,21478729,37.2363675,-3.6459293,0
114,21478730,37.1682846,-3.6099882,0
115,21478732,37.1458265,-3.6103387,0
116,21478736,37.1648500,-3.6099765,motorway_junction
117,21478738,37.1446949,-3.6118454,0
118,21478744,37.1512671,-3.6120723,0
119,21478746,37.1674904,-3.6088731,0
120,21478747,37.1433864,-3.6138461,0
121,21478748,37.1533249,-3.6129547,0
122,21478750,37.1434073,-3.6137130,0
123,21478753,37.1678717,-3.6089050,0
124,21478757,37.1500762,-3.6114854,0
125,21478758,37.2329746,-3.6413187,0
126,21478759,37.1482050,-3.6108150,0
127,21478762,37.1507727,-3.6120314,0
128,21478768,37.1677498,-3.6088066,0
129,21478770,37.2390139,-3.6496826,0
130,21478772,37.1470505,-3.6096341,0
131,21478773,37.1679517,-3.6102667,0
132,21478776,37.2396602,-3.6503668,motorway_junction
133,21478779,37.1424725,-3.6148288,0
134,21478787,37.1418233,-3.6157333,0
135,21478788,37.1430926,-3.6102725,0
136,21478789,37.1679567,-3.6090267,0
137,21478794,37.1679967,-3.6091883,0
138,21478795,37.1450307,-3.6095582,0
139,21478800,37.1438552,-3.6096856,0
140,21478802,37.1628365,-3.6104430,0
141,21478803,37.2067060,-3.6247637,0
142,21478805,37.1673676,-3.6089730,0
143,21478807,37.1424599,-3.6109215,0
144,21478809,37.2046627,-3.6265725,0
145,21478813,37.1673226,-3.6099508,0
146,21478814,37.1433302,-3.6133609,0
147,21478817,37.1433344,-3.6132637,0
148,21478822,37.1802425,-3.6191948,0
149,21478824,37.1434171,-3.6130584,0
150,21478827,37.1438825,-3.6136041,0
151,21478828,37.1423488,-3.6113581,0
152,21478830,37.1433966,-3.6135792,0
153,21478833,37.2126210,-3.6240034,0
154,21478834,37.1438969,-3.6130844,0
155,21478836,37.1403127,-3.6179630,0
156,21478837,37.1842656,-3.6277878,0
157,21478838,37.1680717,-3.6087883,0
158,21478839,37.2230580,-3.6315305,0
159,21478843,37.1853843,-3.6302077,0
160,21478845,37.2216076,-3.6301442,motorway_junction
161,21478846,37.1437539,-3.6129569,0
162,21478848,37.1584021,-3.6121994,0
163,21478854,37.1552856,-3.6131391,0
164,21478855,37.1828573,-3.6247398,0
165,21478859,37.1609842,-3.6111356,0
