,Way_Id,Nod_ref,Tags
0,4050337,"['21478794', '1436278350', '552874046', '1436278353', '21478906', '21478773', '21478903', '21478715', '21478905', '21478719', '1375756298', '21478691', '1375756297', '21478704', '21478813', '1132186403', '1436278365', '21478901', '552874009', '21478805', '1436281191', '21478746', '552874084', '21478768']","{'surface': 'paved', 'highway': 'primary', 'junction': 'roundabout'}"
1,4050340,"['21478704', '1375756281', '21478669', '413081106', '21478703']","{'highway': 'motorway_link', 'oneway': 'yes'}"
2,4993742,"['21478662', '484649177']","{'name': 'Autovía de Sierra Nevada', 'ref': 'A-44', 'bridge': 'yes', 'layer': '1', 'lanes': '3', 'oneway': 'yes', 'highway': 'motorway', 'int_ref': 'E 902'}"
3,4993745,"['21478706', '881028726', '881029157', '881028949', '881028780', '33244615', '881028649', '33244616', '881028795', '33244617', '881028794', '881028946', '881028779', '881029207', '21478732', '881029052', '21478728', '881028809', '21478712', '21478690', '21478701', '1011905996', '881029002', '881029104', '881028729', '1011905035', '21478706']","{'maxspeed': '40', 'highway': 'primary', 'lanes': '2', 'junction': 'roundabout'}"
4,4993746,"['21478846', '21478860', '21478738', '881029126', '21478732']","{'highway': 'primary', 'oneway': 'yes'}"
5,4993750,"['1025639551', '1025640039', '244521037', '290980546', '33143004', '1025640131', '1025639924', '1423279515', '1025640065', '1423279502', '1025639825', '1025640043', '1423279469', '1025639704', '33143008', '1025639883', '1423279513', '1025639709', '1025640069']","{'source:date': '2008', 'highway': 'secondary', 'source': 'PNOA', 'lanes': '3', 'oneway': 'yes'}"
6,4993752,"['559422223', '1814655053', '1025639665', '1025639477', '1027206575', '1027206634', '1027206816', '1893742567', '1025639692', '1025639551']","{'name': 'Avenida Juan Pablo II', 'source:date': '2008', 'source': 'PNOA', 'highway': 'secondary', 'lanes': '2', 'oneway': 'yes'}"
7,4993753,"['551498545', '1893807608', '33143018', '33143020', '1893807606', '290912894', '61366580', '663759724', '33143017', '551498611', '78695250', '290912895', '33143014', '559422208', '290912896', '78641299', '551498545']","{'highway': 'secondary', 'source': 'bing', 'junction': 'roundabout', 'oneway': 'yes'}"
8,4993756,"['33143084', '288591814']","{'name': 'Autovía de Sierra Nevada', 'ref': 'A-44', 'lanes': '2', 'int_ref': 'E 902', 'highway': 'motorway', 'oneway': 'yes'}"
9,5004341,"['33244544', '1352789937', '290918354', '1352787360', '1352787456', '1674830548', '1674830546', '1449592767']","{'name': 'Calle Minerva', 'highway': 'residential'}"
10,5004344,"['33143079', '33244594', '33244593', '2375977640', '21478903']","{'destination': 'centro; Recogidas', 'highway': 'motorway_link', 'ref': '129', 'oneway': 'yes'}"
11,5004346,"['1452513676', '311651415', '311651416', '311651417', '311651418', '1520053680', '311651419', '1520001494', '1520001512']","{'name': 'Calle de los Juncos', 'highway': 'residential'}"
12,5004349,"['881028794', '33244618', '881028995', '33244619', '33244620', '33244621', '33244622', '21478866']","{'highway': 'primary', 'oneway': 'yes'}"
13,6065708,"['1904573745', '1904573753', '1352816302', '330252137', '1676628482', '330252025', '304493009', '304493008', '1676628522']","{'name': 'Avenida de Andalucía', 'highway': 'primary', 'oneway': 'yes'}"
14,6065710,"['49937610', '534912486']","{'name': 'Plaza de Mariana Pineda', 'highway': 'residential'}"
15,6065716,"['49937389', '267110877', '534933427', '1654511180', '1694984315', '534933426']","{'name': 'Calle Pavaneras', 'highway': 'residential', 'oneway': 'yes'}"
16,6065718,"['254191559', '1381773394']","{'name': 'Calle Puerta Real De España', 'highway': 'residential', 'psv': 'yes', 'motor_vehicle': 'no @ (07:00-22:00).', 'wikipedia': 'en:Puerta real (Granada)'}"
17,6065721,"['544658557', '544658845', '49937427']","{'name': 'Avenida del Hospicio', 'highway': 'residential', 'oneway': 'yes'}"
18,6065724,"['1646809239', '49937476']","{'name': 'Plaza Pescadería', 'highway': 'pedestrian'}"
19,6065726,"['267340819', '2216066631', '1381655140', '49937472', '267341175', '267341171', '304217773', '1646809257']","{'name': 'Calle Tablas', 'highway': 'residential', 'oneway': 'yes', 'access': 'designated'}"
20,6065736,"['49937519', '3087360134', '303932960', '303932871', '4362125538']","{'surface': 'cobblestone', 'name': 'Calle Oficios', 'highway': 'pedestrian', 'lit': 'yes'}"
