,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
0,"['21478794', '1436278350', '552874046', '1436278353', '21478906', '21478773', '21478903', '21478715', '21478905', '21478719', '1375756298', '21478691', '1375756297', '21478704', '21478813', '1132186403', '1436278365', '21478901', '552874009', '21478805', '1436281191', '21478746', '552874084', '21478768']","{'surface': 'paved', 'highway': 'primary', 'junction': 'roundabout'}",4050337,,,,,,,,,,,primary,roundabout,,,,,,,,,,,,,paved,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
1,"['21478704', '1375756281', '21478669', '413081106', '21478703']","{'highway': 'motorway_link', 'oneway': 'yes'}",4050340,,,,,,,,,,,motorway_link,,,,,,,yes,,,,,,,,,,"['#DC143C', 'grande', 1]",#DC143C,grande,1
2,"['21478662', '484649177']","{'name': 'Autovía de Sierra Nevada', 'ref': 'A-44', 'bridge': 'yes', 'layer': '1', 'lanes': '3', 'oneway': 'yes', 'highway': 'motorway', 'int_ref': 'E 902'}",4993742,,,,,,yes,,,,,motorway,,3.0,1.0,,Autovía de Sierra Nevada,,yes,,,,A-44,,,,,,"['#DC143C', 'grande', 2]",#DC143C,grande,2
3,"['21478706', '881028726', '881029157', '881028949', '881028780', '33244615', '881028649', '33244616', '881028795', '33244617', '881028794', '881028946', '881028779', '881029207', '21478732', '881029052', '21478728', '881028809', '21478712', '21478690', '21478701', '1011905996', '881029002', '881029104', '881028729', '1011905035', '21478706']","{'maxspeed': '40', 'highway': 'primary', 'lanes': '2', 'junction': 'roundabout'}",4993745,,,,,,,,,,,primary,roundabout,2.0,,,,,,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
4,"['21478846', '21478860', '21478738', '881029126', '21478732']","{'highway': 'primary', 'oneway': 'yes'}",4993746,,,,,,,,,,,primary,,,,,,,yes,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
5,"['1025639551', '1025640039', '244521037', '290980546', '33143004', '1025640131', '1025639924', '1423279515', '1025640065', '1423279502', '1025639825', '1025640043', '1423279469', '1025639704', '33143008', '1025639883', '1423279513', '1025639709', '1025640069']","{'source:date': '2008', 'highway': 'secondary', 'source': 'PNOA', 'lanes': '3', 'oneway': 'yes'}",4993750,,,,,,,,,,,secondary,,3.0,,,,,yes,,,,,,,,,,"['#FFFF00', 'grande', 1]",#FFFF00,grande,1
6,"['559422223', '1814655053', '1025639665', '1025639477', '1027206575', '1027206634', '1027206816', '1893742567', '1025639692', '1025639551']","{'name': 'Avenida Juan Pablo II', 'source:date': '2008', 'source': 'PNOA', 'highway': 'secondary', 'lanes': '2', 'oneway': 'yes'}",4993752,,,,,,,,,,,secondary,,2.0,,,Avenida Juan Pablo II,,yes,,,,,,,,,,"['#FFFF00', 'grande', 1]",#FFFF00,grande,1
7,"['551498545', '1893807608', '33143018', '33143020', '1893807606', '290912894', '61366580', '663759724', '33143017', '551498611', '78695250', '290912895', '33143014', '559422208', '290912896', '78641299', '551498545']","{'highway': 'secondary', 'source': 'bing', 'junction': 'roundabout', 'oneway': 'yes'}",4993753,,,,,,,,,,,secondary,roundabout,,,,,,yes,,,,,,,,,,"['#FFFF00', 'grande', 1]",#FFFF00,grande,1
8,"['33143084', '288591814']","{'name': 'Autovía de Sierra Nevada', 'ref': 'A-44', 'lanes': '2', 'int_ref': 'E 902', 'highway': 'motorway', 'oneway': 'yes'}",4993756,,,,,,,,,,,motorway,,2.0,,,Autovía de Sierra Nevada,,yes,,,,A-44,,,,,,"['#DC143C', 'grande', 2]",#DC143C,grande,2
9,"['33244544', '1352789937', '290918354', '1352787360', '1352787456', '1674830548', '1674830546', '1449592767']","{'name': 'Calle Minerva', 'highway': 'residential'}",5004341,,,,,,,,,,,residential,,,,,Calle Minerva,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
